# TIME (S)   X_POS (M)   Y_POS (M)
   0.00000000       0.00000000       0.00000000    
   9.99999978E-03  0.141421348      0.140930846    
   1.99999996E-02  0.282842696      0.280880719    
   2.99999993E-02  0.424264044      0.419849575    
   3.99999991E-02  0.565685391      0.557837427    
   4.99999970E-02  0.707106709      0.694844306    
   5.99999949E-02  0.848528028      0.830870211    
   6.99999928E-02  0.989949346      0.965915084    
   7.99999908E-02   1.13137066       1.09997892    
   8.99999887E-02   1.27279198       1.23306179    
   9.99999866E-02   1.41421330       1.36516368    
  0.109999985       1.55563462       1.49628448    
  0.119999982       1.69705594       1.62642431    
  0.129999980       1.83847725       1.75558317    
  0.139999986       1.97989857       1.88376105    
  0.149999991       2.12132001       2.01095796    
  0.159999996       2.26274133       2.13717389    
  0.170000002       2.40416265       2.26240897    
  0.180000007       2.54558396       2.38666296    
  0.190000013       2.68700528       2.50993586    
  0.200000018       2.82842660       2.63222790    
  0.210000023       2.96984792       2.75353885    
  0.220000029       3.11126924       2.87386894    
  0.230000034       3.25269055       2.99321795    
  0.240000039       3.39411187       3.11158586    
  0.250000030       3.53553319       3.22897291    
  0.260000020       3.67695451       3.34537888    
  0.270000011       3.81837583       3.46080399    
  0.280000001       3.95979714       3.57524800    
  0.289999992       4.10121870       3.68871093    
  0.299999982       4.24264002       3.80119300    
  0.309999973       4.38406134       3.91269398    
  0.319999963       4.52548265       4.02321386    
  0.329999954       4.66690397       4.13275242    
  0.339999944       4.80832529       4.24131012    
  0.349999934       4.94974661       4.34888697    
  0.359999925       5.09116793       4.45548296    
  0.369999915       5.23258924       4.56109762    
  0.379999906       5.37401056       4.66573143    
  0.389999896       5.51543188       4.76938438    
  0.399999887       5.65685320       4.87205601    
  0.409999877       5.79827452       4.97374678    
  0.419999868       5.93969584       5.07445669    
  0.429999858       6.08111715       5.17418528    
  0.439999849       6.22253847       5.27293301    
  0.449999839       6.36395979       5.37069988    
  0.459999830       6.50538111       5.46748590    
  0.469999820       6.64680243       5.56329060    
  0.479999810       6.78822374       5.65811443    
  0.489999801       6.92964506       5.75195742    
  0.499999791       7.07106638       5.84481907    
  0.509999812       7.21248770       5.93669987    
  0.519999802       7.35390902       6.02759981    
  0.529999793       7.49533033       6.11751842    
  0.539999783       7.63675165       6.20645618    
  0.549999774       7.77817297       6.29441309    
  0.559999764       7.91959429       6.38138914    
  0.569999754       8.06101608       6.46738386    
  0.579999745       8.20243740       6.55239773    
  0.589999735       8.34385872       6.63643074    
  0.599999726       8.48528004       6.71948242    
  0.609999716       8.62670135       6.80155325    
  0.619999707       8.76812267       6.88264322    
  0.629999697       8.90954399       6.96275187    
  0.639999688       9.05096531       7.04187965    
  0.649999678       9.19238663       7.12002659    
  0.659999669       9.33380795       7.19719267    
  0.669999659       9.47522926       7.27337742    
  0.679999650       9.61665058       7.34858131    
  0.689999640       9.75807190       7.42280436    
  0.699999630       9.89949322       7.49604607    
  0.709999621       10.0409145       7.56830692    
  0.719999611       10.1823359       7.63958693    
  0.729999602       10.3237572       7.70988560    
  0.739999592       10.4651785       7.77920341    
  0.749999583       10.6065998       7.84754038    
  0.759999573       10.7480211       7.91489601    
  0.769999564       10.8894424       7.98127079    
  0.779999554       11.0308638       8.04666519    
  0.789999545       11.1722851       8.11107826    
  0.799999535       11.3137064       8.17451096    
  0.809999526       11.4551277       8.23696232    
  0.819999516       11.5965490       8.29843235    
  0.829999506       11.7379704       8.35892200    
  0.839999497       11.8793917       8.41843033    
  0.849999487       12.0208130       8.47695732    
  0.859999478       12.1622343       8.53450394    
  0.869999468       12.3036556       8.59106922    
  0.879999459       12.4450769       8.64665318    
  0.889999449       12.5864983       8.70125675    
  0.899999440       12.7279196       8.75487900    
  0.909999430       12.8693409       8.80751991    
  0.919999421       13.0107622       8.85918045    
  0.929999411       13.1521835       8.90985966    
  0.939999402       13.2936049       8.95955753    
  0.949999392       13.4350262       9.00827503    
  0.959999382       13.5764475       9.05601120    
  0.969999373       13.7178688       9.10276604    
  0.979999363       13.8592901       9.14854050    
  0.989999354       14.0007114       9.19333363    
  0.999999344       14.1421328       9.23714638    
   1.00999939       14.2835541       9.27997780    
   1.01999938       14.4249754       9.32182789    
   1.02999938       14.5663967       9.36269760    
   1.03999937       14.7078180       9.40258598    
   1.04999936       14.8492393       9.44149303    
   1.05999935       14.9906607       9.47941971    
   1.06999934       15.1320820       9.51636505    
   1.07999933       15.2735033       9.55232906    
   1.08999932       15.4149246       9.58731270    
   1.09999931       15.5563459       9.62131500    
   1.10999930       15.6977673       9.65433598    
   1.11999929       15.8391886       9.68637657    
   1.12999928       15.9806099       9.71743584    
   1.13999927       16.1220322       9.74751377    
   1.14999926       16.2634544       9.77661133    
   1.15999925       16.4048767       9.80472755    
   1.16999924       16.5462990       9.83186245    
   1.17999923       16.6877213       9.85801697    
   1.18999922       16.8291435       9.88319016    
   1.19999921       16.9705658       9.90738201    
   1.20999920       17.1119881       9.93059349    
   1.21999919       17.2534103       9.95282364    
   1.22999918       17.3948326       9.97407246    
   1.23999918       17.5362549       9.99434090    
   1.24999917       17.6776772       10.0136280    
   1.25999916       17.8190994       10.0319347    
   1.26999915       17.9605217       10.0492601    
   1.27999914       18.1019440       10.0656042    
   1.28999913       18.2433662       10.0809679    
   1.29999912       18.3847885       10.0953503    
   1.30999911       18.5262108       10.1087513    
   1.31999910       18.6676331       10.1211720    
   1.32999909       18.8090553       10.1326113    
   1.33999908       18.9504776       10.1430693    
   1.34999907       19.0918999       10.1525469    
   1.35999906       19.2333221       10.1610432    
   1.36999905       19.3747444       10.1685581    
   1.37999904       19.5161667       10.1750927    
   1.38999903       19.6575890       10.1806459    
   1.39999902       19.7990112       10.1852179    
   1.40999901       19.9404335       10.1888094    
   1.41999900       20.0818558       10.1914196    
   1.42999899       20.2232780       10.1930485    
   1.43999898       20.3647003       10.1936970    
   1.44999897       20.5061226       10.1933641    
   1.45999897       20.6475449       10.1920500    
   1.46999896       20.7889671       10.1897554    
   1.47999895       20.9303894       10.1864796    
   1.48999894       21.0718117       10.1822233    
   1.49999893       21.2132339       10.1769857    
   1.50999892       21.3546562       10.1707668    
   1.51999891       21.4960785       10.1635675    
   1.52999890       21.6375008       10.1553869    
   1.53999889       21.7789230       10.1462250    
   1.54999888       21.9203453       10.1360826    
   1.55999887       22.0617676       10.1249590    
   1.56999886       22.2031898       10.1128540    
   1.57999885       22.3446121       10.0997686    
   1.58999884       22.4860344       10.0857019    
   1.59999883       22.6274567       10.0706539    
   1.60999882       22.7688789       10.0546255    
   1.61999881       22.9103012       10.0376158    
   1.62999880       23.0517235       10.0196247    
   1.63999879       23.1931458       10.0006533    
   1.64999878       23.3345680       9.98070049    
   1.65999877       23.4759903       9.95976639    
   1.66999876       23.6174126       9.93785191    
   1.67999876       23.7588348       9.91495609    
   1.68999875       23.9002571       9.89107895    
   1.69999874       24.0416794       9.86622143    
   1.70999873       24.1831017       9.84038258    
   1.71999872       24.3245239       9.81356335    
   1.72999871       24.4659462       9.78576279    
   1.73999870       24.6073685       9.75698090    
