 RUNNING SIMULATION...
 PI=   3.14159274     , IV=   20.0000000     , THD=   45.0000000     , DT=   9.99999978E-03 , TH=  0.785398185     , VX=   14.1421356     , VY=   14.1421356    
 T=   0.00000000     , X=   0.00000000     , Y=   0.00000000    
 T=   9.99999978E-03 , X=  0.141421348     , Y=  0.140930846    
 T=   1.99999996E-02 , X=  0.282842696     , Y=  0.280880719    
 T=   2.99999993E-02 , X=  0.424264044     , Y=  0.419849575    
 T=   3.99999991E-02 , X=  0.565685391     , Y=  0.557837427    
 T=   4.99999970E-02 , X=  0.707106709     , Y=  0.694844306    
 T=   5.99999949E-02 , X=  0.848528028     , Y=  0.830870211    
 T=   6.99999928E-02 , X=  0.989949346     , Y=  0.965915084    
 T=   7.99999908E-02 , X=   1.13137066     , Y=   1.09997892    
 T=   8.99999887E-02 , X=   1.27279198     , Y=   1.23306179    
 T=   9.99999866E-02 , X=   1.41421330     , Y=   1.36516368    
 T=  0.109999985     , X=   1.55563462     , Y=   1.49628448    
 T=  0.119999982     , X=   1.69705594     , Y=   1.62642431    
 T=  0.129999980     , X=   1.83847725     , Y=   1.75558317    
 T=  0.139999986     , X=   1.97989857     , Y=   1.88376105    
 T=  0.149999991     , X=   2.12132001     , Y=   2.01095796    
 T=  0.159999996     , X=   2.26274133     , Y=   2.13717389    
 T=  0.170000002     , X=   2.40416265     , Y=   2.26240897    
 T=  0.180000007     , X=   2.54558396     , Y=   2.38666296    
 T=  0.190000013     , X=   2.68700528     , Y=   2.50993586    
 T=  0.200000018     , X=   2.82842660     , Y=   2.63222790    
 T=  0.210000023     , X=   2.96984792     , Y=   2.75353885    
 T=  0.220000029     , X=   3.11126924     , Y=   2.87386894    
 T=  0.230000034     , X=   3.25269055     , Y=   2.99321795    
 T=  0.240000039     , X=   3.39411187     , Y=   3.11158586    
 T=  0.250000030     , X=   3.53553319     , Y=   3.22897291    
 T=  0.260000020     , X=   3.67695451     , Y=   3.34537888    
 T=  0.270000011     , X=   3.81837583     , Y=   3.46080399    
 T=  0.280000001     , X=   3.95979714     , Y=   3.57524800    
 T=  0.289999992     , X=   4.10121870     , Y=   3.68871093    
 T=  0.299999982     , X=   4.24264002     , Y=   3.80119300    
 T=  0.309999973     , X=   4.38406134     , Y=   3.91269398    
 T=  0.319999963     , X=   4.52548265     , Y=   4.02321386    
 T=  0.329999954     , X=   4.66690397     , Y=   4.13275242    
 T=  0.339999944     , X=   4.80832529     , Y=   4.24131012    
 T=  0.349999934     , X=   4.94974661     , Y=   4.34888697    
 T=  0.359999925     , X=   5.09116793     , Y=   4.45548296    
 T=  0.369999915     , X=   5.23258924     , Y=   4.56109762    
 T=  0.379999906     , X=   5.37401056     , Y=   4.66573143    
 T=  0.389999896     , X=   5.51543188     , Y=   4.76938438    
 T=  0.399999887     , X=   5.65685320     , Y=   4.87205601    
 T=  0.409999877     , X=   5.79827452     , Y=   4.97374678    
 T=  0.419999868     , X=   5.93969584     , Y=   5.07445669    
 T=  0.429999858     , X=   6.08111715     , Y=   5.17418528    
 T=  0.439999849     , X=   6.22253847     , Y=   5.27293301    
 T=  0.449999839     , X=   6.36395979     , Y=   5.37069988    
 T=  0.459999830     , X=   6.50538111     , Y=   5.46748590    
 T=  0.469999820     , X=   6.64680243     , Y=   5.56329060    
 T=  0.479999810     , X=   6.78822374     , Y=   5.65811443    
 T=  0.489999801     , X=   6.92964506     , Y=   5.75195742    
 T=  0.499999791     , X=   7.07106638     , Y=   5.84481907    
 T=  0.509999812     , X=   7.21248770     , Y=   5.93669987    
 T=  0.519999802     , X=   7.35390902     , Y=   6.02759981    
 T=  0.529999793     , X=   7.49533033     , Y=   6.11751842    
 T=  0.539999783     , X=   7.63675165     , Y=   6.20645618    
 T=  0.549999774     , X=   7.77817297     , Y=   6.29441309    
 T=  0.559999764     , X=   7.91959429     , Y=   6.38138914    
 T=  0.569999754     , X=   8.06101608     , Y=   6.46738386    
 T=  0.579999745     , X=   8.20243740     , Y=   6.55239773    
 T=  0.589999735     , X=   8.34385872     , Y=   6.63643074    
 T=  0.599999726     , X=   8.48528004     , Y=   6.71948242    
 T=  0.609999716     , X=   8.62670135     , Y=   6.80155325    
 T=  0.619999707     , X=   8.76812267     , Y=   6.88264322    
 T=  0.629999697     , X=   8.90954399     , Y=   6.96275187    
 T=  0.639999688     , X=   9.05096531     , Y=   7.04187965    
 T=  0.649999678     , X=   9.19238663     , Y=   7.12002659    
 T=  0.659999669     , X=   9.33380795     , Y=   7.19719267    
 T=  0.669999659     , X=   9.47522926     , Y=   7.27337742    
 T=  0.679999650     , X=   9.61665058     , Y=   7.34858131    
 T=  0.689999640     , X=   9.75807190     , Y=   7.42280436    
 T=  0.699999630     , X=   9.89949322     , Y=   7.49604607    
 T=  0.709999621     , X=   10.0409145     , Y=   7.56830692    
 T=  0.719999611     , X=   10.1823359     , Y=   7.63958693    
 T=  0.729999602     , X=   10.3237572     , Y=   7.70988560    
 T=  0.739999592     , X=   10.4651785     , Y=   7.77920341    
 T=  0.749999583     , X=   10.6065998     , Y=   7.84754038    
 T=  0.759999573     , X=   10.7480211     , Y=   7.91489601    
 T=  0.769999564     , X=   10.8894424     , Y=   7.98127079    
 T=  0.779999554     , X=   11.0308638     , Y=   8.04666519    
 T=  0.789999545     , X=   11.1722851     , Y=   8.11107826    
 T=  0.799999535     , X=   11.3137064     , Y=   8.17451096    
 T=  0.809999526     , X=   11.4551277     , Y=   8.23696232    
 T=  0.819999516     , X=   11.5965490     , Y=   8.29843235    
 T=  0.829999506     , X=   11.7379704     , Y=   8.35892200    
 T=  0.839999497     , X=   11.8793917     , Y=   8.41843033    
